Cu,Al,Mn,Ni,Co,Zn,Si,Be,Hf,Fe,Ti,V,Mg,Cr,Ag,Nb,Zr,Ms,Mp,Mf,As,Ap,Af,HMA,HAM,Crlrat,Ttemp1,Ttime1,Ttemp2,Ttime2
78.1,8.8,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,,,,,85,,,0,1073,5,473,0.25
80.3,8.5,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,265,258,274.3,277,281,6.49,,0,1073,5,473,0.25
80.3,8.4,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,246,235,253,256,265,6.25,,0,1073,5,473,0.25
79.9,8.4,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,236,227,243,247,254,5.96,,0,1073,5,473,0.25
80,8.2,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,222,210,229,237,243,5.83,,0,1073,5,473,0.25
79.8,8.6,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,219,207,228,231,234,5.8,,0,1073,5,473,0.25
79.7,8.6,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,203,195,214,218,224,5.66,,0,1073,5,473,0.25
78.4,9,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,,47,67,,91,,,0,1173,3,1173,0.25
79.2,9,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,,120,133,,157,,,0,1173,3,1173,0.25
79,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,,92,107,,122,,,0,1173,3,1173,0.25
78.6,9,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,,76,99,,116,,,0,1173,3,1173,0.25
79.1,8.9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,,,,,123,,,0,1123,3,1123,0.25
81.1,8,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,,,,,230,,,0,1123,3,1123,0.25
80.6,8.4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,,,,,218,,,0,1123,3,1123,0.25
80,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,,,,,203,,,0,1123,3,1123,0.25
79.6,9.4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,,,,,183,,,0,1123,3,1123,0.25
80.1,8,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,,,,,143,,,0,1123,3,1123,0.25
79.6,8.4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,,,,,137,,,0,1123,3,1123,0.25
76.8,12.5,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,,,,,145,,,0,1173,0.167,0,0
79.3,11.3,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,,,ND,,,0,1173,168,1173,0.167
87.6,11.7,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,128,,,,,ND,,,0,1023,5,0,0
70.9,6.3,0,0,0,22.8,0,0,0,0,0,0,0,0,0,0,0,135,,,,,ND,,,0,1123,1,298,96
72.2,6.7,0,0,0,21.1,0,0,0,0,0,0,0,0,0,0,0,146,,,,,ND,,,0,1123,1,298,96
71.5,6.5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,152,,,,,ND,,,0,1123,1,298,96
80.5,8.7,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,,,,,ND,,,0,1123,0.08,298,168
80.4,8,9.5,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,211,,,,,230,,,63.6,1203,0.133,473,0.25
81.2,8.1,10.2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,213,,,,,232,,,63.6,1203,0.133,473,0.25
87.03,12.5,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,213,,,,,ND,,,0,1123,5,0,0
74.5,7.4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,219,,198,221,,234,,4.3,0,1273,1,773,1
87.6,11.9,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,231,,,,,253,,,0,923,0.25,373,0.08
82,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,293,,277,298,,305.5,,,0,1073,0.75,0,0
82,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,287,,268,283,,303,,,0,1173,0.67,0,0
83,12.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,285,,270,283,,293,,,0,1023,0.84,0,0
81,13.5,0,4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,265.5,,258.5,265.1,,282.8,,,0,1023,0.84,0,0
81,13.5,0,4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,264.1,,253.2,264.8,,285.4,,,0,1173,0.67,0,0
