Ms,HMA
204.6,5.83
206.6,5
213,NA
214,NA
218,NA
223,NA
225,NA
231.3,6.415
238,NA
240,NA
242,NA
243,NA
243.4,11
244,NA
245,NA
252,NA
256.6,4.5
261,7.97
261.7,0.37
264.1,NA
265.5,NA
268.2,NA
269,NA
275,NA
276,NA
277,NA
281,NA
283,NA
285,NA
285,NA
287,NA
288,NA
289,NA
289,NA
290,NA
291,NA
292,NA
293,NA
293.9,6.78
299.7,NA
299.9,3.08
304.7,6.28
305.1,7.77
310,NA
311,NA
322,NA
326.2,7.07
346.38,4.01
351.22,3.08
353,NA
358,NA
369,NA
371,NA
372,9.2
377,9.6
377.48,NA
385,10.5
388,NA
390,4.2
390,4.9
391,4.6
393,4.4
394,4.5
395,NA
395,4.5
395,4.8
396,4
396,11
397,4.4
398,4.3
403,NA
404,3.4
404.7,11.8
408,11.6
422.9,11.75
432,NA
466.8,10.4
471,10.16
475.2,9.4
481.5,8.8
497,NA
498.5,5
503.3,2.892
504.74,1.42
511.58,2.07
521.2,1.528
522,NA
539.98,NA
566.3,5.3
